Provider,HotelCode,RoomCategory,RoomType,MealType,Cost
bonotel,10aab2,Suite,DB,RO,3841.20
bonotel,10aab2,Suite,DB,RO,3841.20
bonotel,10aab2,Suite,DB,RO,4097.28
bonotel,10aab2,Suite,DB,RO,3080.72
bonotel,10aab2,Suite,DB,RO,3336.80
bonotel,10aab2,Suite,DB,RO,3592.88
bonotel,10aab2,Suite,DB,RO,3841.20
bonotel,10aab2,Suite,DB,RO,3841.20
bonotel,10aab2,Suite,DB,RO,4097.28
bonotel,10aab2,Suite,DB,RO,3080.72
bonotel,10aab2,Suite,DB,RO,3336.80
bonotel,10aab2,Suite,DB,RO,3592.88
bonotel,107357,Deluxe,DB,RO,3012.82
bonotel,107357,Deluxe,DB,RO,3298.00
bonotel,107357,Deluxe,DB,RO,3096.24
bonotel,107357,Deluxe,DB,RO,2746.07
bonotel,107357,Deluxe,DB,RO,2621.91
bonotel,107357,Deluxe,DB,RO,3024.46
bonotel,107357,Deluxe,DB,RO,2703.39
bonotel,107357,Deluxe,DB,RO,2829.49
bonotel,107357,Deluxe,DB,RO,2877.99
miki,110669,Standard,TW,BC,2591.73
bonotel,1070a7,Superior,DB,RO,3344.56
bonotel,189a7e,Superior,DB,RO,2337.70
bonotel,189a7e,Superior,DB,RO,2135.94
bonotel,189a7e,Superior,DB,RO,2337.70
bonotel,189a7e,Superior,DB,RO,2135.94
olympiaeurope,19d321,Standard,DB,RO,1503.92
olympiaeurope,19d321,Standard,DB,RO,1503.92
olympiaeurope,19d321,Standard,DB,RO,1758.00
olympiaeurope,19d321,Standard,DB,RO,1758.00
olympiaeurope,19d321,Standard,DB,RO,1782.72
olympiaeurope,19d321,Standard,DB,RO,1782.72
olympiaeurope,19d321,Standard,DB,RO,2084.72
olympiaeurope,19d321,Standard,DB,RO,2084.72
bonotel,10793e,Standard,DB,RO,6650.32
dotw,10793e,Standard,DB,RO,5908.34
dotw,10793e,Standard,DB,RO,6705.61
miki,10731f,Standard,DB,RO,1768.64
miki,10731f,Standard,DB,RO,1931.20
olympiaeurope,1070a9,Suite,DB,RO,3520.26
olympiaeurope,1070a9,Suite,DB,RO,3705.30
olympiaeurope,1070a9,Suite,DB,RO,3775.50
olympiaeurope,110c05,Standard,DB,RO,958.24
olympiaeurope,110c05,Standard,DB,RO,990.88
olympiaeurope,110c05,Standard,DB,RO,1023.52
olympiaeurope,110c05,Standard,DB,RO,1023.52
olympiaeurope,110c05,Standard,DB,RO,1139.12
olympiaeurope,110c05,Standard,DB,RO,1177.84
olympiaeurope,110c05,Standard,DB,RO,1216.64
olympiaeurope,110c05,Standard,DB,RO,1216.64
compass,189b95,Superior,DB,RO,3440.00
bonotel,142597,Standard,DB,BE,2455.07
miki,107220,Standard,TW,RO,2233.68
bonotel,107161,Suite,DB,RO,3142.80
bonotel,107161,Suite,DB,RO,3142.80
bonotel,10704f,Deluxe,DB,RO,2374.56
bonotel,10704f,Deluxe,DB,RO,2374.56
bonotel,11751c,Deluxe,DB,RO,2706.30
bonotel,11751c,Deluxe,DB,RO,3031.25
bonotel,11751c,Deluxe,DB,RO,2577.29
bonotel,11751c,Deluxe,DB,RO,2510.36
bonotel,11751c,Deluxe,DB,RO,3031.25
bonotel,11751c,Deluxe,DB,RO,2069.98
bonotel,11751c,Deluxe,DB,RO,2590.87
bonotel,11751c,Deluxe,DB,RO,2138.85
bonotel,11751c,Deluxe,DB,RO,2267.86
bonotel,11751c,Deluxe,DB,RO,2590.87
olympiaeurope,12addf,Standard,DB,RO,570.80
olympiaeurope,12addf,Standard,DB,RO,570.80
olympiaeurope,12addf,Standard,DB,RO,570.80
olympiaeurope,12addf,Standard,DB,RO,570.80
olympiaeurope,12addf,Standard,DB,RO,608.80
olympiaeurope,12addf,Standard,DB,RO,608.80
olympiaeurope,12addf,Standard,DB,RO,608.80
olympiaeurope,12addf,Standard,DB,RO,608.80
bonotel,176baf,Suite,TB,RO,9202.39
bonotel,10aab2,Suite,DB,RO,4260.24
bonotel,10aab2,Suite,DB,RO,4260.24
bonotel,1070a7,Superior,DB,RO,3344.56
bonotel,1070a7,Superior,DB,RO,3344.56
olympiaeurope,18fd7e,Standard,DB,RO,1233.44
olympiaeurope,18fd7e,Standard,DB,RO,1321.52
olympiaeurope,18fd7e,Standard,DB,RO,1447.44
bonotel,107311,Junior Suite,DB,RO,4943.12
bonotel,107311,Junior Suite,DB,RO,5695.84
bonotel,107311,Junior Suite,DB,RO,5695.84
bonotel,107311,Junior Suite,DB,RO,5261.28
bonotel,107311,Junior Suite,DB,RO,5261.28
bonotel,107311,Junior Suite,DB,RO,6068.32
bonotel,107311,Junior Suite,DB,RO,6068.32
bonotel,107311,Junior Suite,DB,RO,5447.52
bonotel,107311,Junior Suite,DB,RO,5447.52
bonotel,107311,Junior Suite,DB,RO,6254.56
bonotel,107311,Junior Suite,DB,RO,6254.56
olympiaeurope,107311,Junior Suite,DB,RO,3298.60
bonotel,107078,Standard,SB,RO,3985.73
bonotel,107078,Standard,SB,RO,3985.73
compass,138542,Standard,DB,RO,2466.00
miki,16d78f,Standard,DB,RO,2268.12
miki,16d78f,Standard,DB,RO,2315.36
miki,14d5cc,Standard,TW,RO,3816.48
hbeds,138251,Shared Facility,DB,RO,775.18
bonotel,102a80,Standard,DB,RO,7767.76
miki,107357,Standard,DB,RO,2682.83
bonotel,11736a,Standard,DB,RO,4106.98
bonotel,11736a,Standard,DB,RO,2945.89
bonotel,11736a,Standard,DB,RO,3098.18
bonotel,11736a,Standard,DB,RO,4106.98
bonotel,11736a,Standard,DB,RO,3098.18
bonotel,11736a,Standard,DB,RO,2945.89
bonotel,11736a,Standard,DB,RO,4106.98
bonotel,11736a,Standard,DB,RO,3395.00
bonotel,11736a,Standard,DB,RO,3193.24
bonotel,11736a,Standard,DB,RO,3098.18
bonotel,11736a,Standard,DB,RO,2945.89
bonotel,11736a,Standard,DB,RO,4106.98
bonotel,11736a,Standard,DB,RO,2945.89
bonotel,11736a,Standard,DB,RO,3098.18
miki,1070a6,Standard,DB,RO,1946.79
hbeds,189832,Standard,DB,RO,2079.18
hbeds,189832,Standard,DB,RO,2312.22
hbeds,189832,Standard,DB,RO,2731.66
hbeds,189832,Standard,DB,RO,2079.18
hbeds,189832,Standard,DB,RO,2312.22
hbeds,189832,Standard,DB,RO,2731.66
bonotel,10797d,Deluxe,DB,RO,2582.14
bonotel,10797d,Deluxe,DB,RO,2582.14
bonotel,10797d,Deluxe,DB,RO,2277.56
bonotel,189b8c,Suite,DB,RO,2376.50
olympiaeurope,189af8,Deluxe,DB,BE,2517.46
olympiaeurope,12addf,Suite,DB,RO,1033.44
olympiaeurope,12addf,Suite,DB,RO,1102.32
hbeds,174984,Shared Facility,DB,RO,946.96
olympiaeurope,102ec8,Standard,DB,RO,2131.64
olympiaeurope,102ec8,Standard,DB,RO,2180.78
olympiaeurope,1255ec,Suite,DB,RO,750.72
olympiaeurope,1255ec,Suite,DB,RO,800.00
bonotel,107161,Standard,DB,RO,2700.48
bonotel,107161,Standard,DB,RO,2343.52
bonotel,1070a9,Standard,DB,RO,2472.53
bonotel,1070a9,Standard,DB,RO,2938.13
bonotel,1070a9,Standard,DB,RO,2938.13
bonotel,1070a9,Standard,DB,RO,2938.13
bonotel,1070a9,Standard,DB,RO,2938.13
bonotel,1070a9,Standard,DB,RO,2472.53
bonotel,1070a9,Standard,DB,RO,2938.13
bonotel,1070a9,Standard,DB,RO,2938.13
bonotel,1070a9,Standard,DB,RO,2472.53
bonotel,1070a9,Standard,DB,RO,2938.13
bonotel,1070a9,Standard,DB,RO,2938.13
bonotel,1070a9,Standard,DB,RO,2472.53
bonotel,10793e,Standard,DB,RO,7620.32
bonotel,10793e,Standard,DB,RO,8761.04
olympiaeurope,138542,Standard,DB,BE,2485.35
bonotel,10797d,Superior,DB,RO,2075.80
olympiaeurope,107161,Suite,DB,BE,3178.79
olympiaeurope,107161,Suite,DB,BE,3250.29
olympiaeurope,107161,Suite,DB,BE,3536.09
olympiaeurope,107161,Suite,DB,BE,4406.01
hbeds,11404a,Standard,TB,RO,1085.02
miki,14d5cc,Standard,DB,RO,3589.06
miki,107357,Standard,TW,BC,3578.19
bonotel,107161,Deluxe,DB,RO,2941.04
miki,1106eb,Standard,DB,BC,3341.15
bonotel,107a49,Deluxe,DB,RO,4446.48
bonotel,107a49,Deluxe,DB,RO,4609.44
bonotel,107a49,Deluxe,DB,RO,4446.48
bonotel,107a49,Deluxe,DB,RO,4609.44
bonotel,107a49,Deluxe,DB,RO,4609.44
bonotel,107a49,Deluxe,DB,RO,4446.48
bonotel,107a49,Deluxe,DB,RO,4446.48
bonotel,107a49,Deluxe,DB,RO,4609.44
bonotel,107311,Deluxe,DB,RO,4415.44
bonotel,107311,Deluxe,DB,RO,4415.44
bonotel,107311,Deluxe,DB,RO,4694.80
bonotel,107311,Deluxe,DB,RO,4694.80
bonotel,107311,Deluxe,DB,RO,4888.80
bonotel,107311,Deluxe,DB,RO,4888.80
bonotel,165ff0,Superior,DB,RO,3422.16
bonotel,165ff0,Superior,DB,RO,3422.16
miki,110669,Deluxe,DB,RO,2145.84
olympiaeurope,110c05,Deluxe,DB,RO,1023.52
olympiaeurope,110c05,Deluxe,DB,RO,1216.64
bonotel,1198ac,Standard,DB,RO,1944.85
bonotel,11751c,Suite,DB,RO,4058.48
bonotel,11751c,Suite,DB,RO,4058.48
bonotel,11751c,Suite,DB,RO,3322.25
bonotel,11751c,Suite,DB,RO,3201.97
bonotel,11751c,Suite,DB,RO,2763.53
bonotel,11751c,Suite,DB,RO,3620.04
bonotel,11751c,Suite,DB,RO,2883.81
bonotel,11751c,Suite,DB,RO,3620.04
olympiaeurope,107161,Standard,DB,BE,2227.83
olympiaeurope,107161,Standard,DB,BE,2281.64
olympiaeurope,107161,Standard,DB,BE,2496.84
olympiaeurope,107161,Standard,DB,BE,2508.87
olympiaeurope,107161,Standard,DB,BE,2570.33
olympiaeurope,107161,Standard,DB,BE,2815.89
olympiaeurope,107161,Standard,DB,BE,3112.56
olympiaeurope,107161,Standard,DB,BE,3507.48
bonotel,10704f,Deluxe,DB,RO,3268.90
bonotel,10704f,Deluxe,DB,RO,3268.90
bonotel,10704f,Deluxe,DB,RO,2966.26
bonotel,10704f,Deluxe,DB,RO,2966.26
bonotel,10704f,Deluxe,DB,RO,2966.26
bonotel,10704f,Deluxe,DB,RO,2865.38
bonotel,10704f,Deluxe,DB,RO,2865.38
bonotel,10704f,Deluxe,DB,RO,2865.38
bonotel,10704f,Deluxe,DB,RO,3268.90
bonotel,10704f,Deluxe,DB,RO,3268.90
bonotel,10704f,Deluxe,DB,RO,3268.90
bonotel,10704f,Deluxe,DB,RO,2966.26
bonotel,10704f,Deluxe,DB,RO,2966.26
bonotel,10704f,Deluxe,DB,RO,2966.26
olympiaeurope,10704f,Deluxe,DB,RO,2399.47
olympiaeurope,10704f,Deluxe,DB,RO,2399.47
olympiaeurope,10704f,Deluxe,DB,RO,2484.43
olympiaeurope,10704f,Deluxe,DB,RO,2484.54
bonotel,10793e,Suite,DB,RO,37333.36
bonotel,10793e,Suite,DB,RO,27051.36
bonotel,10793e,Suite,DB,RO,27051.36
bonotel,10793e,Suite,DB,RO,30093.28
bonotel,1028f7,Standard,DB,RO,1838.15
bonotel,102a80,Suite,DB,RO,16490.00
bonotel,102a80,Suite,DB,RO,16490.00
olympiaeurope,193e6e,Deluxe,DB,RO,2119.42
olympiaeurope,193e6e,Deluxe,DB,RO,2298.29
bonotel,1070a7,Suite,DB,RO,4524.08
bonotel,1070a7,Suite,DB,RO,4524.08
bonotel,1070a7,Suite,DB,RO,3498.79
bonotel,1070a7,Suite,DB,RO,4203.98
bonotel,1070a7,Suite,DB,RO,4203.98
bonotel,10793e,Suite,DB,RO,12951.44
dotw,10793e,Suite,DB,RO,7725.91
bonotel,11751c,Standard,DB,RO,2382.32
bonotel,11751c,Standard,DB,RO,2235.85
bonotel,11751c,Standard,DB,RO,1797.41
bonotel,11751c,Standard,DB,RO,1942.91
bonotel,11751c,Standard,DB,RO,2797.48
bonotel,11751c,Standard,DB,RO,2595.72
olympiaeurope,10753c,Standard,DB,RO,1206.88
olympiaeurope,10753c,Standard,DB,RO,1270.72
olympiaeurope,10753c,Standard,DB,RO,1270.72
olympiaeurope,10753c,Standard,DB,RO,1270.72
olympiaeurope,10753c,Standard,DB,RO,1434.64
olympiaeurope,10753c,Standard,DB,RO,1510.56
olympiaeurope,10753c,Standard,DB,RO,1510.56
olympiaeurope,10753c,Standard,DB,RO,1510.56
compass,107346,Standard,DB,RO,2320.00
compass,107346,Standard,DB,RO,2614.00
compass,189b95,Standard,DB,RO,3204.00
olympiaeurope,107161,Deluxe,DB,RO,2382.70
olympiaeurope,107161,Deluxe,DB,RO,2449.58
olympiaeurope,107161,Deluxe,DB,RO,2717.01
olympiaeurope,107161,Deluxe,DB,RO,3385.67
bonotel,1070aa,Suite,DB,RO,7655.24
bonotel,1070aa,Suite,DB,RO,9271.26
miki,16d78f,Standard,DB,BC,2672.20
bonotel,107227,Standard,DB,RO,2515.21
bonotel,107227,Standard,DB,RO,2515.21
bonotel,107227,Standard,DB,RO,2515.21
bonotel,107155,Standard,DB,RO,2637.43
bonotel,107155,Standard,DB,RO,2637.43
dotw,10727b,Standard,DB,RO,2599.98
dotw,10727b,Standard,DB,RO,2838.02
dotw,10727b,Standard,DB,RO,3314.08
bonotel,107357,Junior Suite,DB,RO,3653.02
bonotel,107357,Junior Suite,DB,RO,3546.32
bonotel,1070aa,Deluxe,DB,RO,5369.92
bonotel,1070aa,Deluxe,DB,RO,5369.92
bonotel,1070aa,Deluxe,DB,RO,4694.80
bonotel,1070aa,Deluxe,DB,RO,4935.36
bonotel,10797d,Suite,DB,RO,4229.20
bonotel,10797d,Deluxe,DB,RO,3833.44
bonotel,10aab2,Standard,DB,RO,3375.60
bonotel,10aab2,Standard,DB,RO,3220.40
bonotel,10aab2,Standard,DB,RO,3057.44
bonotel,10aab2,Standard,DB,RO,3375.60
bonotel,10aab2,Standard,DB,RO,3220.40
bonotel,10aab2,Standard,DB,RO,3057.44
bonotel,102405,Standard,DB,RO,3774.27
bonotel,1070aa,Deluxe,DB,RO,5036.24
bonotel,1070aa,Deluxe,DB,RO,4454.24
bonotel,1070aa,Deluxe,DB,RO,5036.24
bonotel,1070aa,Deluxe,DB,RO,4627.87
bonotel,107357,Deluxe,DB,RO,3344.56
bonotel,107357,Deluxe,DB,RO,2745.10
bonotel,107357,Deluxe,DB,RO,2617.06
hbeds,11404a,Standard,DB,RO,887.56
bonotel,11736a,Deluxe,DB,RO,3408.58
bonotel,11736a,Deluxe,DB,RO,3408.58
miki,11a3b4,Standard,TW,RO,2139.26
bonotel,1106eb,Standard,DB,RO,3663.69
bonotel,1106eb,Standard,DB,RO,3058.41
bonotel,1106eb,Standard,DB,RO,3058.41
bonotel,1106eb,Standard,DB,RO,2957.53
bonotel,1106eb,Standard,DB,RO,2906.12
miki,1106eb,Standard,DB,RO,2652.57
miki,1106eb,Standard,DB,RO,2790.28
olympiaeurope,189af8,Deluxe,DB,RO,2303.38
miki,1106eb,Standard,TW,RO,2790.28
miki,189832,Standard,DB,RO,2085.37
miki,189832,Standard,DB,RO,2319.10
miki,111d45,Standard,DB,RO,2074.08
miki,107220,Standard,DB,RO,1958.27
miki,107220,Standard,DB,RO,2050.05
miki,107220,Standard,DB,RO,2233.68
miki,16d78f,Standard,TW,RO,2555.02
olympiaeurope,11bd0f,Standard,DB,BE,2383.54
bonotel,10793e,Junior Suite,DB,RO,9366.32
miki,107af1,Suite,DB,BC,2780.64
miki,107af1,Suite,DB,BC,3036.24
miki,107a49,Standard,DB,BC,3384.64
compass,189af8,Standard,DB,RO,2582.00
hbeds,183444,Shared Facility,DB,RO,941.60
olympiaeurope,102d21,Standard,DB,RO,1114.96
olympiaeurope,102d21,Standard,DB,RO,1114.96
olympiaeurope,102d21,Standard,DB,RO,1114.96
olympiaeurope,102d21,Standard,DB,RO,1187.60
olympiaeurope,102d21,Standard,DB,RO,1187.60
olympiaeurope,102d21,Standard,DB,RO,1187.60
olympiaeurope,102d21,Standard,DB,RO,1432.56
olympiaeurope,102d21,Standard,DB,RO,1432.56
olympiaeurope,102d21,Standard,DB,RO,1526.32
olympiaeurope,102d21,Standard,DB,RO,1526.32
bonotel,1106eb,Standard,DB,RO,3107.88
bonotel,1106eb,Standard,DB,RO,3107.88
bonotel,1106eb,Standard,DB,RO,3058.41
olympiaeurope,103198,Superior,DB,RO,2635.50
olympiaeurope,103198,Superior,DB,RO,2805.66
miki,11a3b4,Standard,DB,RO,1866.44
miki,11a3b4,Standard,DB,RO,2203.01
miki,11a3b4,Standard,DB,RO,2139.26
miki,11a3b4,Standard,DB,RO,2093.86
olympiaeurope,107161,Standard,DB,RO,1910.09
olympiaeurope,107161,Standard,DB,RO,1963.90
olympiaeurope,107161,Standard,DB,RO,2179.11
olympiaeurope,107161,Standard,DB,RO,2191.12
olympiaeurope,107161,Standard,DB,RO,2252.56
olympiaeurope,107161,Standard,DB,RO,2498.14
olympiaeurope,107161,Standard,DB,RO,3112.07
bonotel,137521,Deluxe,DB,RO,2622.88
bonotel,137521,Deluxe,DB,RO,2877.02
bonotel,137521,Deluxe,DB,RO,2877.02
bonotel,137521,Deluxe,DB,RO,2824.64
bonotel,137521,Deluxe,DB,RO,2824.64
bonotel,137521,Deluxe,DB,RO,2622.88
bonotel,137521,Deluxe,DB,RO,2877.02
bonotel,137521,Deluxe,DB,RO,2877.02
bonotel,137521,Deluxe,DB,RO,2824.64
bonotel,137521,Deluxe,DB,RO,2824.64
olympiaeurope,10799a,Standard,DB,RO,1186.88
olympiaeurope,10799a,Standard,DB,RO,1186.88
olympiaeurope,10799a,Standard,DB,RO,1269.92
olympiaeurope,10799a,Standard,DB,RO,1269.92
olympiaeurope,10799a,Standard,DB,RO,1352.80
olympiaeurope,10799a,Standard,DB,RO,1352.80
olympiaeurope,10799a,Standard,DB,RO,1465.84
olympiaeurope,10799a,Standard,DB,RO,1568.72
olympiaeurope,10799a,Standard,DB,RO,1671.60
bonotel,1070a9,Suite,DB,RO,3672.42
bonotel,1070a9,Suite,DB,RO,3672.42
bonotel,1070a9,Suite,DB,RO,2762.56
bonotel,1070a9,Suite,DB,RO,3111.76
bonotel,1070a9,Suite,DB,RO,3111.76
bonotel,1070a9,Suite,DB,RO,3672.42
bonotel,1070a9,Suite,DB,RO,3672.42
bonotel,1070a9,Suite,DB,RO,3111.76
bonotel,1070a9,Suite,DB,RO,2762.56
bonotel,1070a9,Suite,DB,RO,3111.76
bonotel,1070a9,Suite,DB,RO,3672.42
bonotel,1070a9,Suite,DB,RO,3111.76
bonotel,1070a9,Suite,DB,RO,3672.42
bonotel,1070a9,Suite,DB,RO,2762.56
bonotel,1070a9,Suite,DB,RO,3111.76
bonotel,1070a9,Suite,DB,RO,3672.42
bonotel,1070a9,Suite,DB,RO,3672.42
bonotel,1070a9,Suite,DB,RO,3111.76
bonotel,1070a9,Suite,DB,RO,2762.56
bonotel,1070a9,Suite,DB,RO,3111.76
olympiaeurope,107161,Deluxe,DB,BE,3018.18
olympiaeurope,107161,Deluxe,DB,BE,3085.06
olympiaeurope,107161,Deluxe,DB,BE,3352.52
olympiaeurope,107161,Deluxe,DB,BE,4176.51
bonotel,102a80,Deluxe,DB,RO,6613.46
bonotel,102a80,Deluxe,DB,RO,9709.70
compass,1072ba,Standard,DB,RO,2428.00
compass,1072ba,Standard,DB,RO,2121.00
dotw,10727b,Suite,DB,RO,3720.90
dotw,10727b,Superior,DB,RO,2838.02
dotw,10727b,Superior,DB,RO,3011.13
miki,16d78f,Standard,TW,BC,2959.10
bonotel,137521,Standard,DB,RO,2421.12
bonotel,137521,Standard,DB,RO,2675.26
bonotel,137521,Standard,DB,RO,2675.26
bonotel,137521,Standard,DB,RO,2421.12
bonotel,137521,Standard,DB,RO,2675.26
bonotel,137521,Standard,DB,RO,2675.26
miki,110669,Standard,TW,RO,2279.57
bonotel,107496,Superior,DB,RO,2446.34
bonotel,107496,Superior,DB,RO,2446.34
bonotel,107496,Superior,DB,RO,2446.34
bonotel,107496,Superior,DB,RO,2446.34
miki,110669,Standard,DB,BC,2350.75
miki,1106eb,Standard,TW,BC,3341.15
bonotel,189b8c,Deluxe,DB,RO,2050.58
bonotel,189b8c,Deluxe,DB,RO,2050.58
bonotel,10aab2,Standard,DB,RO,2863.44
bonotel,10aab2,Standard,DB,RO,2716.00
bonotel,10aab2,Standard,DB,RO,3049.68
bonotel,10aab2,Standard,DB,RO,2894.48
bonotel,10aab2,Standard,DB,RO,2421.12
bonotel,10aab2,Standard,DB,RO,2296.96
bonotel,10aab2,Standard,DB,RO,2172.80
bonotel,10aab2,Standard,DB,RO,2615.12
bonotel,10aab2,Standard,DB,RO,2483.20
bonotel,10aab2,Standard,DB,RO,2359.04
bonotel,10aab2,Standard,DB,RO,2816.88
bonotel,10aab2,Standard,DB,RO,2677.20
bonotel,10aab2,Standard,DB,RO,2537.52
bonotel,10aab2,Standard,DB,RO,2863.44
bonotel,10aab2,Standard,DB,RO,2716.00
bonotel,10aab2,Standard,DB,RO,3049.68
bonotel,10aab2,Standard,DB,RO,2894.48
bonotel,10aab2,Standard,DB,RO,2421.12
bonotel,10aab2,Standard,DB,RO,2296.96
bonotel,10aab2,Standard,DB,RO,2172.80
bonotel,10aab2,Standard,DB,RO,2615.12
bonotel,10aab2,Standard,DB,RO,2483.20
bonotel,10aab2,Standard,DB,RO,2359.04
bonotel,10aab2,Standard,DB,RO,2816.88
bonotel,10aab2,Standard,DB,RO,2677.20
bonotel,10aab2,Standard,DB,RO,2537.52
olympiaeurope,1071bf,Standard,DB,RO,1256.05
compass,1072ba,Standard,TW,RO,2428.00
bonotel,107a49,Standard,DB,RO,2816.88
bonotel,107a49,Standard,DB,RO,4125.41
bonotel,107a49,Standard,DB,RO,2816.88
bonotel,107a49,Standard,DB,RO,2816.88
bonotel,107a49,Standard,DB,RO,4125.41
bonotel,107a49,Standard,DB,RO,4125.41
bonotel,107a49,Standard,DB,RO,4430.96
bonotel,107a49,Standard,DB,RO,4430.96
bonotel,107a49,Standard,DB,RO,4725.84
bonotel,107a49,Standard,DB,RO,4725.84
bonotel,107a49,Standard,DB,RO,5020.72
bonotel,107a49,Standard,DB,RO,5020.72
bonotel,107a49,Standard,DB,RO,5012.96
bonotel,107a49,Standard,DB,RO,5012.96
bonotel,1106eb,Suite,DB,RO,5423.27
olympiaeurope,107346,Standard,DB,BE,2283.73
bonotel,14fec1,Standard,DB,BC,3016.70
bonotel,14fec1,Standard,DB,BC,3016.70
bonotel,14fec1,Standard,DB,BC,3016.70
bonotel,14fec1,Standard,DB,BC,3016.70
olympiaeurope,19d321,Deluxe,DB,RO,1758.00
